className,homepage
JoNova,http://joannenova.com.au/
WattsUpWithThat,https://wattsupwiththat.com/
TimWorstall,http://www.timworstall.com/
NoTricksZone,http://notrickszone.com/
C3Headlines,http://www.c3headlines.com/
NotAlotOfPeopleKnowThat,https://notalotofpeopleknowthat.wordpress.com/
TallBloke,https://tallbloke.wordpress.com
StevenGoddard,https://stevengoddard.wordpress.com/
Heartland,http://blog.heartland.org/
AmericanElephant,https://americanelephant.wordpress.com/
Chiefio,https://chiefio.wordpress.com/
SunshineHours,https://sunshinehours.net/
HockeySchtick,http://hockeyschtick.blogspot.com/
AntiGreen,http://antigreen.blogspot.com/
TomNelson,http://tomnelson.blogspot.com/
MikeSmithEnterprisesBlog,http://www.mikesmithenterprisesblog.com/
ItsFairComment,http://itsfaircomment-climategate.blogspot.com/
Motls,https://motls.blogspot.com/
Cfact,http://www.cfact.org/
ClimateDepot,http://www.climatedepot.com/
WMBriggs,http://wmbriggs.com/
HallOfRecord,http://hallofrecord.blogspot.com/
FactsNotFantasy,http://factsnotfantasy.blogspot.com/
JenniferMarohasy,http://jennifermarohasy.com/
JudithCurry,https://judithcurry.com/
CoyoteBlog,http://www.coyoteblog.com/
ClimateAudit,https://climateaudit.org
AustralianClimateMadness,https://australianclimatemadness.com/
AutonomousMind,https://autonomousmind.wordpress.com/
PielkeClimateSci,https://pielkeclimatesci.wordpress.com/
Heliogenic,http://www.heliogenic.net/
NoConsensus,https://noconsensus.wordpress.com/
Omnologos,http://omnologos.com/
ScottishSceptic,http://scottishsceptic.co.uk/
AlGoreLied,http://algorelied.com/
SkepticsCorner,http://jer-skepticscorner.blogspot.com/
RogerPielkeJr,http://rogerpielkejr.blogspot.com/
JulesAndJames,http://julesandjames.blogspot.com/
NewNostradamusOfTheNorth,http://newnostradamusofthenorth.blogspot.com/
TheGWPFCom,https://www.thegwpf.com/
BobTisdale,https://bobtisdale.wordpress.com/
ClimateChangePredictions,http://climatechangepredictions.org/
GlobalWarming,http://www.globalwarming.org/
ClimateCommonSense2,http://www.climatecommonsense2.com/
AnHonestClimateDebate,https://anhonestclimatedebate.wordpress.com/
ClimateConversation,https://www.climateconversation.org.nz/
WarwickHughes,http://www.warwickhughes.com/blog/
ADogNamedKyoto,http://adognamedkyoto.blogspot.com/
Klimazwiebel,http://klimazwiebel.blogspot.com/
CoolibahConsulting,http://www.coolibahconsulting.com.au/
NoFrakkingConsensus,https://nofrakkingconsensus.com/
Omniclimate,https://omniclimate.wordpress.com/
DrRoySpencer,http://www.drroyspencer.com/
LeastThing,http://leastthing.blogspot.com/
GlobalClimateScam,http://www.globalclimatescam.com/
GlobalSham,http://globalsham.blogspot.com/
GreenHellBlog,https://greenhellblog.com/
DevConsultancyGroup,http://devconsultancygroup.blogspot.com/
CarbonFolly,http://www.carbonfolly.com/
CarbonSense,https://carbon-sense.com/
Dddusmma,https://dddusmma.wordpress.com
ClimateSkeptic,http://www.climate-skeptic.com/
PolarBearScience,https://polarbearscience.com/
GlobalFreeze,https://globalfreeze.wordpress.com/
ClimateResistance,http://www.climate-resistance.org/
Co2Insanity,https://co2insanity.com/
TheLukewarmersWay,https://thelukewarmersway.wordpress.com/
NextGrandMinimum,https://nextgrandminimum.wordpress.com/
HiIzuru,http://www.hi-izuru.org/
RClutz,https://rclutz.wordpress.com/
ClimateNonconformist,https://climatenonconformist.wordpress.com/
HRo001,https://hro001.wordpress.com/
Moyhu,https://moyhu.blogspot.com/
ThePointman,https://thepointman.wordpress.com/
Co2Coalition,http://co2coalition.org/
TrustYetVerify,https://trustyetverify.wordpress.com
GustOfHotAir,http://gustofhotair.blogspot.com/
ClimateLessons,http://climatelessons.blogspot.com/
Scientificqa,http://scientificqa.blogspot.co.uk/
CliveBest,http://clivebest.com/
DiggingInTheClay,https://diggingintheclay.wordpress.com/
Hypsithermal,https://hypsithermal.wordpress.com/
ClimateChangeDispatch,http://climatechangedispatch.com/
TheGWPFOrg,http://www.thegwpf.org/
CcgiNewbery1,http://ccgi.newbery1.plus.com/blog/
Nigguraths,https://nigguraths.wordpress.com/
AllRightAllRight,http://allrightallright.blogspot.com/
ScienceOfDoom,https://scienceofdoom.com/
RhinoHide,https://rhinohide.wordpress.com/
TheClimateBet,http://www.theclimatebet.com/
ClimateSanity,https://climatesanity.wordpress.com/
AGWHeretic,http://agw-heretic.blogspot.com/
GeoffChambers,https://geoffchambers.wordpress.com/
DefyCCC,https://defyccc.com/
Hiizuru,https://hiizuru.wordpress.com/
TheClimateGateBook,http://www.theclimategatebook.com/
HauntingTheLibrary,https://hauntingthelibrary.wordpress.com/
CarlinEconomics,http://www.carlineconomics.com/
PetesPlace,http://petesplace-peter.blogspot.com/
PrincipiaScientific,http://principia-scientific.org/
ClimateOfSophistry,https://climateofsophistry.com/
Three000Quads,https://3000quads.com/
SkepticalSwedishScientists,https://skepticalswedishscientists.wordpress.com/
TalkingAboutTheWeather,https://talkingabouttheweather.wordpress.com/
RealClimateScience,https://realclimatescience.com/
CGFI,http://www.cgfi.org/
ClimateEdinburgh,http://climateedinburgh.blogspot.com/
ClimateGuy,http://climateguy.blogspot.com/
CalderUp,https://calderup.wordpress.com/
PopularTechnology,http://www.populartechnology.net/
JunkScience,http://junkscience.com/
SteveMosher,https://stevemosher.wordpress.com/
ImpactOfCC,http://impactofcc.blogspot.com/
TroyCA,https://troyca.wordpress.com/
NoCarbonTax,http://www.nocarbontax.com.au/
TheInconvenientSkeptic,http://theinconvenientskeptic.com/
KiwiThinker,http://www.kiwithinker.com/
ClimateSenseNorpag,http://climatesense-norpag.blogspot.com/
UnsettledClimate,https://unsettledclimate.org/
TreesForTheForest,https://treesfortheforest.wordpress.com/
ThePompousGit,https://thepompousgit.wordpress.com/
FriendsOfCo2,http://friendsofco2.blogspot.com/
ClimateContrarian,http://climatecontrarian.blogspot.co.uk/
FakeGate,http://fakegate.org/
EnthusiasmScepticismScience,https://enthusiasmscepticismscience.wordpress.com/
StatPad,https://statpad.wordpress.com
DeadmanTurner,https://deadmanturner.wordpress.com/
IceAgeNow,https://www.iceagenow.info/
PaulMacrae,http://www.paulmacrae.com/
TheWeatherWiz,http://theweatherwiz.blogspot.com/
GlobalWarmingFactOrFiction,http://globalwarming-factorfiction.com
PoliClimate,http://policlimate.com/
Ubilibertas,https://ubilibertas.wordpress.com/
PerhapsAllNatural,http://perhapsallnatural.blogspot.com/
